Exchange,Name,Trading_symbol,isin
BSE,AARTI DRUGS LTD.,AARTIDRUGS,INE767A01016
BSE,AARTI INDUSTRIES LTD.,AARTIIND,INE769A01020
BSE,AAVAS Financiers Limited,AAVAS,INE216P01012
BSE,ABAN OFFSHORE LTD.,ABAN,INE421A01028
BSE,ABB INDIA LIMITED,ABB,INE117A01022
BSE,ABBOTT INDIA LTD.,ABBOTINDIA,INE358A01014
BSE,ACC LTD.,ACC,INE012A01025
BSE,ACCELYA SOLUTIONS INDIA LIMITE,ACCELYA,INE793A01012
BSE,ACTION CONSTRUCTION EQUIPMENT,ACE,INE731H01025
BSE,ADANI ENTERPRISES LTD.,ADANIENT,INE423A01024
BSE,ADANI PORTS AND SPECIAL ECONOM,ADANIPORTS,INE742F01042
BSE,ADANI TOTAL GAS LIMITED,ATGL,INE399L01023
BSE,ADITYA BIRLA MONEY LTD.,BIRLAMONEY,INE865C01022
BSE,ADITYA BIRLA REAL ESTATE LIMIT,ABREL,INE055A01016
BSE,ADOR WELDING LTD.,ADOR,INE045A01017
BSE,ADVANCE METERING TECHNOLOGY LT,AMTL,INE436N01029
BSE,ADVANI HOTELS & RESORTS (INDIA,ADVANIHOTR,INE199C01026
BSE,AEGIS LOGISTICS LTD.,AEGISLOG,INE208C01025
BSE,AFFLE 3I LIMITED,AFFLE,INE00WC01027
BSE,AGARWAL INDUSTRIAL CORPORATION,AGARIND,INE204E01012
BSE,AGI GREENPAC LIMITED,AGI,INE415A01038
BSE,AGRI- TECH (INDIA) LTD,AGRITECH,INE449G01018
BSE,AHLUWALIA CONTRACTS (INDIA) LT,AHLUCONT,INE758C01029
BSE,AIA ENGINEERING LTD.,AIAENG,INE212H01026
BSE,AIK Pipes and Polymers Limited,AIKPIPES,INE0QFT01015
BSE,AION-TECH SOLUTIONS LIMITED,GOLDTECH,INE805A01014
BSE,AJANTA PHARMA LTD.,AJANTPHARM,INE031B01049
BSE,AJMERA REALTY & INFRA INDIA LT,AJMERA,INE298G01027
BSE,AKSH OPTIFIBRE LTD.,AKSHOPTFBR,INE523B01011
BSE,AKZO NOBEL INDIA LIMITED,AKZOINDIA,INE133A01011
BSE,ALANKIT,ALANKIT,INE914E01040
BSE,ALEMBIC LTD.,ALEMBICLTD,INE426A01027
BSE,ALEMBIC PHARMACEUTICALS LTD.,APLLTD,INE901L01018
BSE,ALICON CASTALLOY LIMITED,ALICON,INE062D01024
BSE,ALIVUS LIFE SCIENCES LIMITED,ALIVUS,INE03Q201024
BSE,ALKALI METALS LTD.,ALKALI,INE773I01017
BSE,ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,INE150B01039
BSE,ALLCARGO LOGISTICS LTD.,ALLCARGO,INE418H01029
BSE,ALLIED DIGITAL SERVICES LTD.,ADSL,INE102I01027
BSE,ALOK INDUSTRIES LTD.,ALOKINDS,INE270A01029
BSE,ALPHAGEO (INDIA) LTD.,ALPHAGEO,INE137C01018
BSE,ALPS INDUSTRIES LTD.,ALPSINDUS,INE093B01015
BSE,AMARJOTHI SPINNING MILLS LTD.,AMARJOTHI,INE484D01012
BSE,AMBICA AGARBATHIES & AROMA IND,AMBICAAGAR,INE792B01012
BSE,AMBIKA COTTON MILLS LTD.,AMBIKCO,INE540G01014
BSE,AMBUJA CEMENTS LTD.,AMBUJACEM,INE079A01024
BSE,AMD INDUSTRIES LTD.,AMDIND,INE005I01014
BSE,AMJ LAND HOLDINGS LIMITED,AMJLAND,INE606A01024
BSE,AMRUTANJAN HEALTH CARE LTD.,AMRUTANJAN,INE098F01031
BSE,ANANT RAJ LIMITED,ANANTRAJ,INE242C01024
BSE,ANDHRA CEMENTS LTD.,ACL,INE666E01020
BSE,ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,INE714B01016
BSE,ANDHRA SUGARS LTD.,ANDHRSUGAR,INE715B01021
BSE,ANDREW YULE & COMPANY LTD.,ANDREWYU,INE449C01025
BSE,ANGEL ONE LIMITED,ANGELONE,INE732I01013
BSE,ANIK INDUSTRIES LTD.,ANIKINDS,INE087B01017
BSE,ANJANI PORTLAND CEMENT LTD.,APCL,INE071F01012
BSE,ANKIT METAL & POWER LTD.,ANKITMETAL,INE106I01010
BSE,ANSAL HOUSING LIMITED,ANSALHSG,INE880B01015
BSE,ANSAL PROPERTIES & INFRASTRUCT,ANSALAPI,INE436A01026
BSE,APAR INDUSTRIES LTD.,APARINDS,INE372A01015
BSE,APCOTEX INDUSTRIES LTD.,APCOTEXIND,INE116A01032
BSE,APL APOLLO TUBES LTD.,APLAPOLLO,INE702C01027
BSE,APOLLO HOSPITALS ENTERPRISE LT,APOLLOHOSP,INE437A01024
BSE,APOLLO TYRES LTD.,APOLLOTYRE,INE438A01022
BSE,APTECH LTD.,APTECHT,INE266F01018
BSE,ARCHIDPLY INDUSTRIES LTD.,ARCHIDPLY,INE877I01016
BSE,ARCHIES LTD.,ARCHIES,INE731A01020
BSE,ARIES AGRO LTD.,ARIES,INE298I01015
BSE,ARIHANT FOUNDATIONS & HOUSING,ARIHANT,INE413D01011
BSE,ARMAN FINANCIAL SERVICES LTD.,ARMANFIN,INE109C01017
BSE,ARO GRANITE INDUSTRIES LTD.,AROGRANITE,INE210C01013
BSE,ARSHIYA LIMITED,ARSHIYA,INE968D01022
BSE,ARVIND LTD.,ARVIND,INE034A01011
BSE,ASAHI INDIA GLASS LTD.,ASAHIINDIA,INE439A01020
BSE,ASAHI SONGWON COLORS LTD.,ASAHISONG,INE228I01012
BSE,ASHAPURA MINECHEM LTD.,ASHAPURMIN,INE348A01023
BSE,ASHIANA HOUSING LTD.,ASHIANA,INE365D01021
BSE,ASHIMA LTD.,ASHIMASYN,INE440A01010
BSE,ASHOK LEYLAND LTD.,ASHOKLEY,INE208A01029
BSE,ASHOKA BUILDCON LTD.,ASHOKA,INE442H01029
BSE,ASIAN GRANITO INDIA LTD.,ASIANTILES,INE022I01019
BSE,ASIAN HOTELS (EAST) LTD.,AHLEAST,INE926K01017
BSE,ASIAN HOTELS (NORTH) LIMITED,ASIANHOTNR,INE363A01022
BSE,ASIAN PAINTS LTD.,ASIANPAINT,INE021A01026
BSE,ASSOCIATED ALCOHOLS & BREWERIE,ASALCBR,INE073G01016
BSE,ASTEC LIFESCIENCES LIMITED,ASTEC,INE563J01010
BSE,ASTRA MICROWAVE PRODUCTS LTD.,ASTRAMICRO,INE386C01029
BSE,ASTRAL LIMITED,ASTRAL,INE006I01046
BSE,ASTRAZENECA PHARMA INDIA LTD.,ASTRAZEN,INE203A01020
BSE,ATLANTAA LIMITED,ATLANTAA,INE285H01022
BSE,ATUL AUTO LTD.,ATULAUTO,INE951D01028
BSE,ATUL LTD.,ATUL,INE100A01010
